,id,result,completed_by_id,lead_time,project_id,task_id
0,118427,"[{""id"": ""TUw7T3_KAm"", ""type"": ""rectanglelabels"", ""value"": {""x"": 40.75, ""y"": 37.25, ""width"": 26, ""height"": 26.5, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 400, ""original_height"": 400}]",131,4.6610000000000005,352,497959
1,118414,"[{""id"": ""w39Od9gcyI"", ""type"": ""rectanglelabels"", ""value"": {""x"": 51.594746716697934, ""y"": 36.333333333333336, ""width"": 22.701688555347094, ""height"": 23.666666666666668, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 533, ""original_height"": 300}, {""id"": ""TLyFvNemVp"", ""type"": ""rectanglelabels"", ""value"": {""x"": 64.72795497185741, ""y"": 14.333333333333334, ""width"": 10.318949343339588, ""height"": 13.333333333333334, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 533, ""original_height"": 300}, {""id"": ""hrEfnrSgkd"", ""type"": ""rectanglelabels"", ""value"": {""x"": 41.83864915572233, ""y"": 61.333333333333336, ""width"": 20.825515947467167, ""height"": 15.333333333333334, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 533, ""original_height"": 300}, {""id"": ""e7rzIcfJH5"", ""type"": ""rectanglelabels"", ""value"": {""x"": 28.142589118198874, ""y"": 85.33333333333333, ""width"": 15.0093808630394, ""height"": 14.333333333333334, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 533, ""original_height"": 300}, {""id"": ""oBupOCpgec"", ""type"": ""rectanglelabels"", ""value"": {""x"": 76.17260787992495, ""y"": 67.33333333333333, ""width"": 13.696060037523452, ""height"": 13, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 533, ""original_height"": 300}]",131,18.807000000000002,352,497933
2,118415,"[{""id"": ""nSEaO488VA"", ""type"": ""rectanglelabels"", ""value"": {""x"": 2.0637898686679175, ""y"": 39, ""width"": 30.393996247654783, ""height"": 17, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 533, ""original_height"": 300}, {""id"": ""EIWklhyGyE"", ""type"": ""rectanglelabels"", ""value"": {""x"": 45.40337711069419, ""y"": 49.666666666666664, ""width"": 51.21951219512195, ""height"": 35, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 533, ""original_height"": 300}]",131,9.247,352,497935
3,118416,"[{""id"": ""fT-VLznfF_"", ""type"": ""rectanglelabels"", ""value"": {""x"": 14.5, ""y"": 31.75, ""width"": 71.25, ""height"": 31.75, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 400, ""original_height"": 400}]",131,15.308,352,497937
4,118417,"[{""id"": ""Tsdv3qMxjG"", ""type"": ""rectanglelabels"", ""value"": {""x"": 31.5, ""y"": 37.75, ""width"": 32.75, ""height"": 21.25, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 400, ""original_height"": 400}]",131,6.007999999999999,352,497939
5,118418,"[{""id"": ""i0bcYM6ghO"", ""type"": ""rectanglelabels"", ""value"": {""x"": 33.25, ""y"": 41, ""width"": 23.5, ""height"": 18, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 400, ""original_height"": 400}]",131,4.159,352,497941
6,118419,"[{""id"": ""CoRhYCi2CC"", ""type"": ""rectanglelabels"", ""value"": {""x"": 33.75, ""y"": 34.25, ""width"": 27.5, ""height"": 17.25, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 400, ""original_height"": 400}, {""id"": ""yi1YVbPh9u"", ""type"": ""rectanglelabels"", ""value"": {""x"": 72.25, ""y"": 45, ""width"": 18, ""height"": 15, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 400, ""original_height"": 400}]",131,7.981,352,497943
7,118420,"[{""id"": ""dx57f8MrYm"", ""type"": ""rectanglelabels"", ""value"": {""x"": 31.5, ""y"": 37, ""width"": 37, ""height"": 24.25, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 400, ""original_height"": 400}]",131,4.149,352,497945
8,118421,"[{""id"": ""_SENJA0ARA"", ""type"": ""rectanglelabels"", ""value"": {""x"": 33, ""y"": 32.5, ""width"": 38.75, ""height"": 28.25, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 400, ""original_height"": 400}]",131,8.677,352,497947
9,118422,"[{""id"": ""guNjW0w8Tm"", ""type"": ""rectanglelabels"", ""value"": {""x"": 1.5555555555555556, ""y"": 62, ""width"": 12.666666666666666, ""height"": 14.666666666666666, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 450, ""original_height"": 300}, {""id"": ""KW1s9_0pXD"", ""type"": ""rectanglelabels"", ""value"": {""x"": 32.666666666666664, ""y"": 58.333333333333336, ""width"": 43.77777777777778, ""height"": 33.333333333333336, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 450, ""original_height"": 300}, {""id"": ""YfpHpg-0OB"", ""type"": ""rectanglelabels"", ""value"": {""x"": 80.44444444444444, ""y"": 66, ""width"": 11.333333333333334, ""height"": 14.333333333333334, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 450, ""original_height"": 300}, {""id"": ""6lINfCttk4"", ""type"": ""rectanglelabels"", ""value"": {""x"": 51.111111111111114, ""y"": 41.666666666666664, ""width"": 5.777777777777778, ""height"": 6.333333333333333, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 450, ""original_height"": 300}, {""id"": ""qcj42HR84Y"", ""type"": ""rectanglelabels"", ""value"": {""x"": 83.77777777777777, ""y"": 40.666666666666664, ""width"": 14, ""height"": 6.666666666666667, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 450, ""original_height"": 300}, {""id"": ""MRIYKtEhTl"", ""type"": ""rectanglelabels"", ""value"": {""x"": 73.33333333333333, ""y"": 36.333333333333336, ""width"": 14, ""height"": 5.666666666666667, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 450, ""original_height"": 300}, {""id"": ""EH-ENeor2I"", ""type"": ""rectanglelabels"", ""value"": {""x"": 67.11111111111111, ""y"": 41, ""width"": 10.666666666666666, ""height"": 4.333333333333333, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 450, ""original_height"": 300}, {""id"": ""YuuTkS3XVA"", ""type"": ""rectanglelabels"", ""value"": {""x"": 60, ""y"": 47, ""width"": 8, ""height"": 5.333333333333333, ""rotation"": 0, ""rectanglelabels"": [""Potholes""]}, ""to_name"": ""image"", ""from_name"": ""label"", ""image_rotation"": 0, ""original_width"": 450, ""original_height"": 300}]",131,20.373,352,497949
